column_a,code,browser,cldr_short_name
344,U+1F469 U+1F3FC U+200D U+1F680,👩🏼‍🚀,woman astronaut: medium-light skin tone
345,U+1F469 U+1F3FD U+200D U+1F680,👩🏽‍🚀,woman astronaut: medium skin tone
346,U+1F469 U+1F3FE U+200D U+1F680,👩🏾‍🚀,woman astronaut: medium-dark skin tone
347,U+1F469 U+1F3FF U+200D U+1F680,👩🏿‍🚀,woman astronaut: dark skin tone
348,U+1F468 U+200D U+1F692,👨‍🚒,man firefighter
349,U+1F468 U+1F3FB U+200D U+1F692,👨🏻‍🚒,man firefighter: light skin tone
350,U+1F468 U+1F3FC U+200D U+1F692,👨🏼‍🚒,man firefighter: medium-light skin tone
351,U+1F468 U+1F3FD U+200D U+1F692,👨🏽‍🚒,man firefighter: medium skin tone
352,U+1F468 U+1F3FE U+200D U+1F692,👨🏾‍🚒,man firefighter: medium-dark skin tone
353,U+1F468 U+1F3FF U+200D U+1F692,👨🏿‍🚒,man firefighter: dark skin tone
354,U+1F469 U+200D U+1F692,👩‍🚒,woman firefighter
355,U+1F469 U+1F3FB U+200D U+1F692,👩🏻‍🚒,woman firefighter: light skin tone
356,U+1F469 U+1F3FC U+200D U+1F692,👩🏼‍🚒,woman firefighter: medium-light skin tone
357,U+1F469 U+1F3FD U+200D U+1F692,👩🏽‍🚒,woman firefighter: medium skin tone
358,U+1F469 U+1F3FE U+200D U+1F692,👩🏾‍🚒,woman firefighter: medium-dark skin tone
359,U+1F469 U+1F3FF U+200D U+1F692,👩🏿‍🚒,woman firefighter: dark skin tone
360,U+1F46E,👮,police officer
361,U+1F46E U+1F3FB,👮🏻,police officer: light skin tone
362,U+1F46E U+1F3FC,👮🏼,police officer: medium-light skin tone
363,U+1F46E U+1F3FD,👮🏽,police officer: medium skin tone
364,U+1F46E U+1F3FE,👮🏾,police officer: medium-dark skin tone
365,U+1F46E U+1F3FF,👮🏿,police officer: dark skin tone
366,U+1F46E U+200D U+2642 U+FE0F,👮‍♂️,man police officer
367,U+1F46E U+1F3FB U+200D U+2642 U+FE0F,👮🏻‍♂️,man police officer: light skin tone
368,U+1F46E U+1F3FC U+200D U+2642 U+FE0F,👮🏼‍♂️,man police officer: medium-light skin tone
369,U+1F46E U+1F3FD U+200D U+2642 U+FE0F,👮🏽‍♂️,man police officer: medium skin tone
370,U+1F46E U+1F3FE U+200D U+2642 U+FE0F,👮🏾‍♂️,man police officer: medium-dark skin tone
371,U+1F46E U+1F3FF U+200D U+2642 U+FE0F,👮🏿‍♂️,man police officer: dark skin tone
372,U+1F46E U+200D U+2640 U+FE0F,👮‍♀️,woman police officer
373,U+1F46E U+1F3FB U+200D U+2640 U+FE0F,👮🏻‍♀️,woman police officer: light skin tone
374,U+1F46E U+1F3FC U+200D U+2640 U+FE0F,👮🏼‍♀️,woman police officer: medium-light skin tone
375,U+1F46E U+1F3FD U+200D U+2640 U+FE0F,👮🏽‍♀️,woman police officer: medium skin tone
376,U+1F46E U+1F3FE U+200D U+2640 U+FE0F,👮🏾‍♀️,woman police officer: medium-dark skin tone
377,U+1F46E U+1F3FF U+200D U+2640 U+FE0F,👮🏿‍♀️,woman police officer: dark skin tone
378,U+1F575,🕵,detective
379,U+1F575 U+1F3FB,🕵🏻,detective: light skin tone
380,U+1F575 U+1F3FC,🕵🏼,detective: medium-light skin tone
381,U+1F575 U+1F3FD,🕵🏽,detective: medium skin tone
382,U+1F575 U+1F3FE,🕵🏾,detective: medium-dark skin tone
383,U+1F575 U+1F3FF,🕵🏿,detective: dark skin tone
384,U+1F575 U+FE0F U+200D U+2642 U+FE0F,🕵️‍♂️,man detective
385,U+1F575 U+1F3FB U+200D U+2642 U+FE0F,🕵🏻‍♂️,man detective: light skin tone
386,U+1F575 U+1F3FC U+200D U+2642 U+FE0F,🕵🏼‍♂️,man detective: medium-light skin tone
387,U+1F575 U+1F3FD U+200D U+2642 U+FE0F,🕵🏽‍♂️,man detective: medium skin tone
388,U+1F575 U+1F3FE U+200D U+2642 U+FE0F,🕵🏾‍♂️,man detective: medium-dark skin tone
389,U+1F575 U+1F3FF U+200D U+2642 U+FE0F,🕵🏿‍♂️,man detective: dark skin tone
390,U+1F575 U+FE0F U+200D U+2640 U+FE0F,🕵️‍♀️,woman detective
391,U+1F575 U+1F3FB U+200D U+2640 U+FE0F,🕵🏻‍♀️,woman detective: light skin tone
392,U+1F575 U+1F3FC U+200D U+2640 U+FE0F,🕵🏼‍♀️,woman detective: medium-light skin tone
393,U+1F575 U+1F3FD U+200D U+2640 U+FE0F,🕵🏽‍♀️,woman detective: medium skin tone
394,U+1F575 U+1F3FE U+200D U+2640 U+FE0F,🕵🏾‍♀️,woman detective: medium-dark skin tone
395,U+1F575 U+1F3FF U+200D U+2640 U+FE0F,🕵🏿‍♀️,woman detective: dark skin tone
396,U+1F482,💂,guard
397,U+1F482 U+1F3FB,💂🏻,guard: light skin tone
398,U+1F482 U+1F3FC,💂🏼,guard: medium-light skin tone
399,U+1F482 U+1F3FD,💂🏽,guard: medium skin tone
400,U+1F482 U+1F3FE,💂🏾,guard: medium-dark skin tone
401,U+1F482 U+1F3FF,💂🏿,guard: dark skin tone
402,U+1F482 U+200D U+2642 U+FE0F,💂‍♂️,man guard
403,U+1F482 U+1F3FB U+200D U+2642 U+FE0F,💂🏻‍♂️,man guard: light skin tone
404,U+1F482 U+1F3FC U+200D U+2642 U+FE0F,💂🏼‍♂️,man guard: medium-light skin tone
405,U+1F482 U+1F3FD U+200D U+2642 U+FE0F,💂🏽‍♂️,man guard: medium skin tone
406,U+1F482 U+1F3FE U+200D U+2642 U+FE0F,💂🏾‍♂️,man guard: medium-dark skin tone
407,U+1F482 U+1F3FF U+200D U+2642 U+FE0F,💂🏿‍♂️,man guard: dark skin tone
408,U+1F482 U+200D U+2640 U+FE0F,💂‍♀️,woman guard
409,U+1F482 U+1F3FB U+200D U+2640 U+FE0F,💂🏻‍♀️,woman guard: light skin tone
410,U+1F482 U+1F3FC U+200D U+2640 U+FE0F,💂🏼‍♀️,woman guard: medium-light skin tone
411,U+1F482 U+1F3FD U+200D U+2640 U+FE0F,💂🏽‍♀️,woman guard: medium skin tone
412,U+1F482 U+1F3FE U+200D U+2640 U+FE0F,💂🏾‍♀️,woman guard: medium-dark skin tone
413,U+1F482 U+1F3FF U+200D U+2640 U+FE0F,💂🏿‍♀️,woman guard: dark skin tone
414,U+1F477,👷,construction worker
415,U+1F477 U+1F3FB,👷🏻,construction worker: light skin tone
416,U+1F477 U+1F3FC,👷🏼,construction worker: medium-light skin tone
417,U+1F477 U+1F3FD,👷🏽,construction worker: medium skin tone
